"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1893613091901804951","Sun Feb 23 13:53:32 +0000 2025","0","@Dennysiregar7 Sedang menjajaki mau jadi Presiden Qatar #KaburAjaDulu katanya 2029 masih lama mau bikin perahu dulu disana","1893660468163584450","","Dennysiregar7","in","","0","0","0","https://x.com/DriverMahrus/status/1893660468163584450","1632568957306830848","DriverMahrus"
"1893446672958791764","Sun Feb 23 13:51:39 +0000 2025","0","@AntoniusCDN @jokowi @UGMYogyakarta @03__nakula @__AnakKolong @ahmad_bellamy @Anak__Ogi @Ary_PrasKe2 @barengwarga @ch_chotimah2 @DS_yantie @CakKhum @seruanhl Ceritanya anakku juga fresh graduate dg predikat cumlaude pengennya #KaburAjaDulu msh gw larang ... tapi di konoha terlalu bnyk ordal... mdh2an dpt jln yg terbaik. Misal bangun usaha sendiri .... spt buka warung minuman hrrbal hangat dn jajanan ..sptnya cocok kta di kota batu..","1893659993192181776","","AntoniusCDN","in","","0","0","0","https://x.com/gimoshore/status/1893659993192181776","1357529578386845699","gimoshore"
"1893322235605328046","Sun Feb 23 13:50:19 +0000 2025","0","@BennyHarmanID btw nama tengah Anda jadi hestek lho Pak: #KaburAjaDulu","1893659657396261248","","BennyHarmanID","in","","0","0","0","https://x.com/brandnewswiftie/status/1893659657396261248","1646977219686703116","brandnewswiftie"
"1893659633874583838","Sun Feb 23 13:50:13 +0000 2025","0","makanya kita #KaburAjaDulu. Merantau lah perbanyak diaspora Indonesia","1893659633874583838","","","in","","0","0","0","https://x.com/alesabela/status/1893659633874583838","1527177562618667008","alesabela"
"1893614484633309253","Sun Feb 23 13:48:54 +0000 2025","4","@MorphoMenelausX @hananoyuri Gw yg swasta gaji 2 digit saja msh pengin kabur keluar negeri... #KaburAjaDulu","1893659300498682148","","MorphoMenelausX","in","","0","1","0","https://x.com/AbanggSayur/status/1893659300498682148","1102960516832550912","AbanggSayur"
"1893659231280103729","Sun Feb 23 13:48:37 +0000 2025","0","Udah didukung #KaburAjaDulu sama Jepang :3","1893659231280103729","","","in","Indonesia Raya.","0","0","0","https://x.com/phayoes/status/1893659231280103729","86456171","phayoes"
"1893658544794107948","Sun Feb 23 13:45:54 +0000 2025","0","pengen fluent english biar bisa #KaburAjaDulu","1893658544794107948","","","in","","0","0","0","https://x.com/starlight____s/status/1893658544794107948","1449643044710453250","starlight____s"
"1893658434832060832","Sun Feb 23 13:45:27 +0000 2025","0","Met malam senin bestieee sini joki pinjol yang masih ada rawatan apk minimal 2 ga pernah di tolak terus belum pernah galbay aku masih open joki pinjol nya langsung dm/ tele ke https://t.co/8a0snFr7zn #ZonaUang #pinpri #galbaypinjol #KaburAjaDulu #IndonesiaGelap #LISA","1893658434832060832","","","in","Tidak open pinpri! ","0","0","0","https://x.com/penjwuaL/status/1893658434832060832","1344890628992167936","penjwuaL"
"1893658037463708054","Sun Feb 23 13:43:53 +0000 2025","0","Bakekok #KaburAjaDulu","1893658037463708054","","","in","","0","0","0","https://x.com/Rudikeju/status/1893658037463708054","1893642104330723328","Rudikeju"
"1893642487564013587","Sun Feb 23 13:41:49 +0000 2025","2","@ourlastrainyday @tanyakanrl Yaah otaknya jg hampir sama kyak dia. FYI dia ngusir orang2 yg naikin tagar #KaburAjaDulu","1893657517848216053","","ourlastrainyday","in","","0","1","0","https://x.com/gunlaksana85/status/1893657517848216053","1862682864535707650","gunlaksana85"
"1893657445823623359","Sun Feb 23 13:41:32 +0000 2025","1","Kita lawan kegelapan dengan secerca harapan untuk masa depan.. Apalagi terhadap mereka yang menggunakan SARA untuk meraih kekuasaan... #indonesiagelap #vibesmarx #kaburajadulu https://t.co/o7o3voqqNk","1893657445823623359","https://pbs.twimg.com/media/GkefaVabAAAQhsT.jpg","","in","","0","0","0","https://x.com/GanjarR1sme/status/1893657445823623359","1493923616756748288","GanjarR1sme"
